2,Jaycare Mice
3,WHDX: Campaign Zero
5,WHDX: Early drop-off
8,Happy Carpet Print: Autumn
9,Clear Moose
13,Moonshade Trading
14,Happy Carpet Print: NGX
18,New-lam: 0% Credit
20,Cannon Motors: Test
21,Indimedia Inc
23,New-lam: Pilot
24,W. King: 2016
28,Smile Networks: Autumn Grin
34,W. King: 25%
37,Cherry Jollysocks: Christmas 2016
38,Cherry Jollysocks: Exploration
43,NSFX: Safetize
56,Yellow Meerkat Corp: Inaugural
62,Cannon Motors: W2W
63,Cannon Motors: All Products
64,Cannon Motors: Cavalier Tanks
65,W. King: Pilot
69,Smile Networks: Happy Bidding
76,Techrine TV: Perpetual
78,Techrine TV: Zero Impact
