23,1.367,GBP
38,1.154,USD
18,1.114,EUR
37,1.193,EUR
18,1.226,EUR
24,1.52,GBP
18,1.27,EUR
21,1.957,GBP
37,1.027,EUR
13,1.849,GBP
38,1.103,USD
43,1.769,GBP
23,1.27,GBP
28,0.617,GBP
34,1.573,GBP
69,0.965,USD
78,1.806,GBP
43,1.744,GBP
21,1.871,GBP
18,1.559,EUR
37,1.235,EUR
56,2.007,USD
18,1.101,EUR
14,2.363,GBP
65,0.948,GBP
34,1.591,GBP
9,2.134,USD
65,0.913,GBP
76,1.706,GBP
28,0.881,GBP
56,1.948,USD
76,1.489,GBP
9,2.114,USD
9,2.18,USD
24,1.504,GBP
56,2.189,USD
2,0.813,GBP
8,1.007,EUR
18,1.184,EUR
18,1.453,EUR
65,1.231,GBP
24,1.507,GBP
65,1.115,GBP
38,1.109,USD
5,1.836,EUR
13,1.893,GBP
24,1.487,GBP
24,1.476,GBP
37,0.935,EUR
5,1.704,EUR
8,0.993,EUR
28,0.831,GBP
24,1.563,GBP
